,S. No.,Date,Region,Confirmed Cases,Active Cases,Cured/Discharged,Death
11306,11307,01/01/1970,Madhya Pradesh,792341,138.0,781686.0,10517.0
11307,11308,21/03/2020,Madhya Pradesh,4,4.0,0.0,0.0
11308,11309,22/03/2020,Madhya Pradesh,4,4.0,0.0,0.0
11309,11310,23/03/2020,Madhya Pradesh,6,6.0,0.0,0.0
11310,11311,24/03/2020,Madhya Pradesh,7,7.0,0.0,0.0
11311,11312,25/03/2020,Madhya Pradesh,7,7.0,0.0,0.0
11312,11313,26/03/2020,Madhya Pradesh,15,14.0,0.0,1.0
11313,11314,27/03/2020,Madhya Pradesh,20,19.0,0.0,1.0
11314,11315,28/03/2020,Madhya Pradesh,30,28.0,0.0,2.0
11315,11316,29/03/2020,Madhya Pradesh,30,28.0,0.0,2.0
11316,11317,30/03/2020,Madhya Pradesh,33,31.0,0.0,2.0
11317,11318,31/03/2020,Madhya Pradesh,47,44.0,0.0,3.0
11318,11319,01/04/2020,Madhya Pradesh,47,44.0,0.0,3.0
11319,11320,02/04/2020,Madhya Pradesh,99,93.0,0.0,6.0
11320,11321,03/04/2020,Madhya Pradesh,99,93.0,0.0,6.0
11321,11322,04/04/2020,Madhya Pradesh,104,98.0,0.0,6.0
11322,11323,05/04/2020,Madhya Pradesh,104,98.0,0.0,6.0
11323,11324,06/04/2020,Madhya Pradesh,165,156.0,0.0,9.0
11324,11325,07/04/2020,Madhya Pradesh,165,156.0,0.0,9.0
11325,11326,08/04/2020,Madhya Pradesh,229,216.0,0.0,13.0
11326,11327,09/04/2020,Madhya Pradesh,229,216.0,0.0,13.0
11327,11328,10/04/2020,Madhya Pradesh,259,243.0,0.0,16.0
11328,11329,11/04/2020,Madhya Pradesh,435,402.0,0.0,33.0
11329,11330,12/04/2020,Madhya Pradesh,532,496.0,0.0,36.0
11330,11331,13/04/2020,Madhya Pradesh,564,528.0,0.0,36.0
11331,11332,14/04/2020,Madhya Pradesh,604,517.0,44.0,43.0
11332,11333,15/04/2020,Madhya Pradesh,730,629.0,51.0,50.0
