#,State/UT,Confirmed Cases,Active Cases,Cured/Discharged,Death
1,Andaman and Nicobar Islands,7650,5,7516,129
2,Andhra Pradesh,2064854,4777,2045713,14364
3,Arunachal Pradesh,55120,115,54725,280
4,Assam,609506,3838,599681,5987
5,Bihar,726073,41,716371,9661
6,Chandigarh,65331,29,64482,820
7,Chhattisgarh,1005926,263,992088,13575
8,Dadra and Nagar Haveli and Daman and Diu,10682,6,10672,4
9,Delhi,1439709,348,1414270,25091
10,Goa,177969,454,174152,3363
11,Gujarat,826481,173,816220,10088
12,Haryana,771204,133,761022,10049
13,Himachal Pradesh,223406,1972,217693,3741
14,Jammu and Kashmir,331865,838,326596,4431
15,Jharkhand,348705,160,343408,5137
16,Karnataka,2986835,8459,2940339,38037
17,Kerala,4938603,77158,4831468,29977
18,Ladakh,20925,47,20670,208
19,Lakshadweep,10365,0,10314,51
20,Madhya Pradesh,792804,108,782172,10524
21,Maharashtra,6606536,23096,6443342,140098
22,Manipur,123473,844,120712,1917
23,Meghalaya,83466,507,81511,1448
24,Mizoram,119496,7320,111752,424
25,Nagaland,31759,222,30856,681
26,Odisha,1039818,4392,1027108,8318
27,Puducherry,127846,443,125546,1857
28,Punjab,602289,246,585487,16556
29,Rajasthan,954411,20,945437,8954
30,Sikkim,31925,177,31353,395
31,Tamil Nadu,2698493,12288,2650145,36060
32,Telangana,670829,4164,662714,3951
33,Tripura,84438,123,83499,816
34,Uttar Pradesh,1710114,100,1687115,22899
35,Uttarakhand,343861,150,336312,7399
36,West Bengal,1589042,7973,1561973,19096
 ,India,34231809,160989,33614434,456386
